71340;0;archivo 1
71340;1;archivo 1
71370,000000000000000;1;archivo 1
71370,000000000000000;0;;
71370;0;archivo 2
71370;1;archivo 2
71400,000000000000000;1;archivo 2
71400,000000000000000;0;;
71400;0;archivo 3
71400;1;archivo 3
71600,000000000000000;1;archivo 3
71600,000000000000000;0;;
71600;0;archivo 4
71600;1;archivo 4
71630,000000000000000;1;archivo 4
71630,000000000000000;0;;
71630;0;archivo 5
71630;1;archivo 5
71660,000000000000000;1;archivo 5
71660,000000000000000;0;;
71660;0;archivo 6
71660;1;archivo 6
71690,000000000000000;1;archivo 6
71690,000000000000000;0;;
71690;0;archivo 7
71690;1;archivo 7
71720,000000000000000;1;archivo 7
71720,000000000000000;0;;
71720;0;archivo 8
71720;1;archivo 8
71750,000000000000000;1;archivo 8
71750,000000000000000;0;;
71750;0;archivo 9
71750;1;archivo 9
71780,000000000000000;1;archivo 9
71780,000000000000000;0;;
71780;0;archivo 10
71780;1;archivo 10
71810,000000000000000;1;archivo 10
71810,000000000000000;0;;
82850;0;archivo 1
82850;1;archivo 1
82880,000000000000000;1;archivo 1
82880,000000000000000;0;;
82880;0;archivo 2
82880;1;archivo 2
82910,000000000000000;1;archivo 2
82910,000000000000000;0;;
82910;0;archivo 3
82910;1;archivo 3
83110,000000000000000;1;archivo 3
83110,000000000000000;0;;
83110;0;archivo 4
83110;1;archivo 4
83140,000000000000000;1;archivo 4
83140,000000000000000;0;;
83140;0;archivo 5
83140;1;archivo 5
83170,000000000000000;1;archivo 5
83170,000000000000000;0;;
83170;0;archivo 6
83170;1;archivo 6
83200,000000000000000;1;archivo 6
83200,000000000000000;0;;
83200;0;archivo 7
83200;1;archivo 7
83230,000000000000000;1;archivo 7
83230,000000000000000;0;;
83230;0;archivo 8
83230;1;archivo 8
83260,000000000000000;1;archivo 8
83260,000000000000000;0;;
83260;0;archivo 9
83260;1;archivo 9
83290,000000000000000;1;archivo 9
83290,000000000000000;0;;
83290;0;archivo 10
83290;1;archivo 10
83320,000000000000000;1;archivo 10
83320,000000000000000;0;;
149330;0;archivo 1
149330;1;archivo 1
149360,000000000000000;1;archivo 1
149360,000000000000000;0;;
149360;0;archivo 2
149360;1;archivo 2
149390,000000000000000;1;archivo 2
149390,000000000000000;0;;
149390;0;archivo 3
149390;1;archivo 3
149590,000000000000000;1;archivo 3
149590,000000000000000;0;;
149590;0;archivo 4
149590;1;archivo 4
149620,000000000000000;1;archivo 4
149620,000000000000000;0;;
149620;0;archivo 5
149620;1;archivo 5
149650,000000000000000;1;archivo 5
149650,000000000000000;0;;
149650;0;archivo 6
149650;1;archivo 6
149680,000000000000000;1;archivo 6
149680,000000000000000;0;;
149680;0;archivo 7
149680;1;archivo 7
149710,000000000000000;1;archivo 7
149710,000000000000000;0;;
149710;0;archivo 8
149710;1;archivo 8
149740,000000000000000;1;archivo 8
149740,000000000000000;0;;
149740;0;archivo 9
149740;1;archivo 9
149770,000000000000000;1;archivo 9
149770,000000000000000;0;;
149770;0;archivo 10
149770;1;archivo 10
149800,000000000000000;1;archivo 10
149800,000000000000000;0;;
246300;0;archivo 1
246300;1;archivo 1
246330,000000000000000;1;archivo 1
246330,000000000000000;0;;
246330;0;archivo 2
246330;1;archivo 2
246360,000000000000000;1;archivo 2
246360,000000000000000;0;;
246360;0;archivo 3
246360;1;archivo 3
246560,000000000000000;1;archivo 3
246560,000000000000000;0;;
246560;0;archivo 4
246560;1;archivo 4
246590,000000000000000;1;archivo 4
246590,000000000000000;0;;
246590;0;archivo 5
246590;1;archivo 5
246620,000000000000000;1;archivo 5
246620,000000000000000;0;;
246620;0;archivo 6
246620;1;archivo 6
246650,000000000000000;1;archivo 6
246650,000000000000000;0;;
246650;0;archivo 7
246650;1;archivo 7
246680,000000000000000;1;archivo 7
246680,000000000000000;0;;
246680;0;archivo 8
246680;1;archivo 8
246710,000000000000000;1;archivo 8
246710,000000000000000;0;;
246710;0;archivo 9
246710;1;archivo 9
246740,000000000000000;1;archivo 9
246740,000000000000000;0;;
246740;0;archivo 10
246740;1;archivo 10
246770,000000000000000;1;archivo 10
246770,000000000000000;0;;
257790;0;archivo 1
257790;1;archivo 1
257820,000000000000000;1;archivo 1
257820,000000000000000;0;;
257820;0;archivo 2
257820;1;archivo 2
257850,000000000000000;1;archivo 2
257850,000000000000000;0;;
257850;0;archivo 3
257850;1;archivo 3
258050,000000000000000;1;archivo 3
258050,000000000000000;0;;
258050;0;archivo 4
258050;1;archivo 4
258080,000000000000000;1;archivo 4
258080,000000000000000;0;;
258080;0;archivo 5
258080;1;archivo 5
258110,000000000000000;1;archivo 5
258110,000000000000000;0;;
258110;0;archivo 6
258110;1;archivo 6
258140,000000000000000;1;archivo 6
258140,000000000000000;0;;
258140;0;archivo 7
258140;1;archivo 7
258170,000000000000000;1;archivo 7
258170,000000000000000;0;;
258170;0;archivo 8
258170;1;archivo 8
258200,000000000000000;1;archivo 8
258200,000000000000000;0;;
258200;0;archivo 9
258200;1;archivo 9
258230,000000000000000;1;archivo 9
258230,000000000000000;0;;
258230;0;archivo 10
258230;1;archivo 10
258260,000000000000000;1;archivo 10
258260,000000000000000;0;;
324260;0;archivo 1
324260;1;archivo 1
324290,000000000000000;1;archivo 1
324290,000000000000000;0;;
324290;0;archivo 2
324290;1;archivo 2
324320,000000000000000;1;archivo 2
324320,000000000000000;0;;
324320;0;archivo 3
324320;1;archivo 3
324520,000000000000000;1;archivo 3
324520,000000000000000;0;;
324520;0;archivo 4
324520;1;archivo 4
324550,000000000000000;1;archivo 4
324550,000000000000000;0;;
324550;0;archivo 5
324550;1;archivo 5
324580,000000000000000;1;archivo 5
324580,000000000000000;0;;
324580;0;archivo 6
324580;1;archivo 6
324610,000000000000000;1;archivo 6
324610,000000000000000;0;;
324610;0;archivo 7
324610;1;archivo 7
324640,000000000000000;1;archivo 7
324640,000000000000000;0;;
324640;0;archivo 8
324640;1;archivo 8
324670,000000000000000;1;archivo 8
324670,000000000000000;0;;
324670;0;archivo 9
324670;1;archivo 9
324700,000000000000000;1;archivo 9
324700,000000000000000;0;;
324700;0;archivo 10
324700;1;archivo 10
324730,000000000000000;1;archivo 10
324730,000000000000000;0;;
421270;0;archivo 1
421270;1;archivo 1
421300,000000000000000;1;archivo 1
421300,000000000000000;0;;
421300;0;archivo 2
421300;1;archivo 2
421330,000000000000000;1;archivo 2
421330,000000000000000;0;;
421330;0;archivo 3
421330;1;archivo 3
421530,000000000000000;1;archivo 3
421530,000000000000000;0;;
421530;0;archivo 4
421530;1;archivo 4
421560,000000000000000;1;archivo 4
421560,000000000000000;0;;
421560;0;archivo 5
421560;1;archivo 5
421590,000000000000000;1;archivo 5
421590,000000000000000;0;;
421590;0;archivo 6
421590;1;archivo 6
421620,000000000000000;1;archivo 6
421620,000000000000000;0;;
421620;0;archivo 7
421620;1;archivo 7
421650,000000000000000;1;archivo 7
421650,000000000000000;0;;
421650;0;archivo 8
421650;1;archivo 8
421680,000000000000000;1;archivo 8
421680,000000000000000;0;;
421680;0;archivo 9
421680;1;archivo 9
421710,000000000000000;1;archivo 9
421710,000000000000000;0;;
421710;0;archivo 10
421710;1;archivo 10
421740,000000000000000;1;archivo 10
421740,000000000000000;0;;
499210;0;archivo 1
499210;1;archivo 1
499240,000000000000000;1;archivo 1
499240,000000000000000;0;;
499240;0;archivo 2
499240;1;archivo 2
499270,000000000000000;1;archivo 2
499270,000000000000000;0;;
499270;0;archivo 3
499270;1;archivo 3
499470,000000000000000;1;archivo 3
499470,000000000000000;0;;
499470;0;archivo 4
499470;1;archivo 4
499500,000000000000000;1;archivo 4
499500,000000000000000;0;;
499500;0;archivo 5
499500;1;archivo 5
499530,000000000000000;1;archivo 5
499530,000000000000000;0;;
499530;0;archivo 6
499530;1;archivo 6
499560,000000000000000;1;archivo 6
499560,000000000000000;0;;
499560;0;archivo 7
499560;1;archivo 7
499590,000000000000000;1;archivo 7
499590,000000000000000;0;;
499590;0;archivo 8
499590;1;archivo 8
499620,000000000000000;1;archivo 8
499620,000000000000000;0;;
499620;0;archivo 9
499620;1;archivo 9
499650,000000000000000;1;archivo 9
499650,000000000000000;0;;
499650;0;archivo 10
499650;1;archivo 10
499680,000000000000000;1;archivo 10
499680,000000000000000;0;;
510760;0;archivo 1
510760;1;archivo 1
510790,000000000000000;1;archivo 1
510790,000000000000000;0;;
510790;0;archivo 2
510790;1;archivo 2
510820,000000000000000;1;archivo 2
510820,000000000000000;0;;
510820;0;archivo 3
510820;1;archivo 3
511020,000000000000000;1;archivo 3
511020,000000000000000;0;;
511020;0;archivo 4
511020;1;archivo 4
511050,000000000000000;1;archivo 4
511050,000000000000000;0;;
511050;0;archivo 5
511050;1;archivo 5
511080,000000000000000;1;archivo 5
511080,000000000000000;0;;
511080;0;archivo 6
511080;1;archivo 6
511110,000000000000000;1;archivo 6
511110,000000000000000;0;;
511110;0;archivo 7
511110;1;archivo 7
511140,000000000000000;1;archivo 7
511140,000000000000000;0;;
511140;0;archivo 8
511140;1;archivo 8
511170,000000000000000;1;archivo 8
511170,000000000000000;0;;
511170;0;archivo 9
511170;1;archivo 9
511200,000000000000000;1;archivo 9
511200,000000000000000;0;;
511200;0;archivo 10
511200;1;archivo 10
511230,000000000000000;1;archivo 10
511230,000000000000000;0;;
